title,year,genres,description,language,poster_url,combined
Mother's Day,2016,"Comedy,Drama",Three generations come together in the week leading up to Mother's Day.,,https://image.tmdb.org/t/p/w500/1TGkhTsbkm2v1nMGJW0eTOFBjAd.jpg,"Mother's Day Three generations come together in the week leading up to Mother's Day. Comedy,Drama"
Movie 43,2013,"Comedy,Romance",A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.,,https://image.tmdb.org/t/p/w500/uYa06GxHsCsELx9vOQ11vsT0Aa6.jpg,"Movie 43 A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood. Comedy,Romance"
Mr. Brooks,2007,"Crime,Drama,Thriller",A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.,,https://image.tmdb.org/t/p/w500/yYleq0qmb67Ig2ViY3hFmUOrH77.jpg,"Mr. Brooks A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego. Crime,Drama,Thriller"
Mr. Church,2016,"Comedy,Drama","""Mr. Church"" tells the story of a unique friendship that develops when a little girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever.",,https://image.tmdb.org/t/p/w500/5fCfZEQwcbuqVPyMu7pN5XNpK5V.jpg,"Mr. Church ""Mr. Church"" tells the story of a unique friendship that develops when a little girl and her dying mother retain the services of a talented cook - Henry Joseph Church. What begins as a six month arrangement instead spans into fifteen years and creates a family bond that lasts forever. Comedy,Drama"
Mr. Nobody,2009,"Drama,Fantasy,Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",,https://image.tmdb.org/t/p/w500/qNkIONc4Rgmzo23ph7qWp9QfVnW.jpg,"Mr. Nobody A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible. Drama,Fantasy,Romance"
Mr. Right,2015,"Action,Comedy,Romance","A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",,https://image.tmdb.org/t/p/w500/aSx5YUCLcSUAR4nt93aeIpZYHF6.jpg,"Mr. Right A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him. Action,Comedy,Romance"
My Big Fat Greek Wedding 2,2016,"Comedy,Family,Romance",A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding.,,https://image.tmdb.org/t/p/w500/lfPqApnLVPsYfdbpSHNnHIxTdmd.jpg,"My Big Fat Greek Wedding 2 A Portokalos family secret brings the beloved characters back together for an even bigger and Greeker wedding. Comedy,Family,Romance"
MÃÂ¤n som hatar kvinnor,2009,"Drama,Mystery,Thriller",A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker.,,https://image.tmdb.org/t/p/w500/6w0TKhfR0Rzby5SXxgfuI99Jrva.jpg,"MÃÂ¤n som hatar kvinnor A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker. Drama,Mystery,Thriller"
Need for Speed,2014,"Action,Crime,Drama","Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins.",,https://image.tmdb.org/t/p/w500/z42kyMizgDKetejusZgucSQsQ4l.jpg,"Need for Speed Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins. Action,Crime,Drama"
Neighbors,2014,Comedy,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",,https://image.tmdb.org/t/p/w500/sN1RU08CMi8xkRIibremh3AOdgw.jpg,"Neighbors After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down. Comedy"
Neighbors 2: Sorority Rising,2016,Comedy,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",,https://image.tmdb.org/t/p/w500/eyjcLLwxuRXACbglIbwWwaXK9DN.jpg,"Neighbors 2: Sorority Rising When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down. Comedy"
Nerve,2016,"Adventure,Crime,Mystery","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.""",,https://image.tmdb.org/t/p/w500/qmSpHC0CSNyNll9WhlwWYuwoQ28.jpg,"Nerve A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers."" Adventure,Crime,Mystery"
Never Back Down,2008,"Action,Drama,Sport",A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,,https://image.tmdb.org/t/p/w500/8oRUTyP1QAtGDMvRpKZyuyFPG0U.jpg,"Never Back Down A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting. Action,Drama,Sport"
Night at the Museum: Secret of the Tomb,2014,"Adventure,Comedy,Family","Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",,https://image.tmdb.org/t/p/w500/xwgy305K6qDs3D20xUO4OZu1HPY.jpg,"Night at the Museum: Secret of the Tomb Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever. Adventure,Comedy,Family"
Nightcrawler,2014,"Crime,Drama,Thriller","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",,https://image.tmdb.org/t/p/w500/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg,"Nightcrawler When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Crime,Drama,Thriller"
Nine Lives,2016,"Comedy,Family,Fantasy",A stuffy businessman finds himself trapped inside the body of his family's cat.,,https://image.tmdb.org/t/p/w500/i457G22lL9t2yhEFdYz5Nd1M5DV.jpg,"Nine Lives A stuffy businessman finds himself trapped inside the body of his family's cat. Comedy,Family,Fantasy"
No Country for Old Men,2007,"Crime,Drama,Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,,https://image.tmdb.org/t/p/w500/6d5XOczc226jECq0LIX0siKtgHR.jpg,"No Country for Old Men Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande. Crime,Drama,Thriller"
No Escape,2015,"Action,Thriller","In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",,https://image.tmdb.org/t/p/w500/jIXZEvL4dmgkjyhD5JUDeOaASKB.jpg,"No Escape In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed. Action,Thriller"
No Strings Attached,2011,"Comedy,Romance","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more.",,https://image.tmdb.org/t/p/w500/9C09L1U9S13J4Ut029Qhu0oLcTQ.jpg,"No Strings Attached A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more. Comedy,Romance"
Noah,2014,"Action,Adventure,Drama",A man is chosen by his world's creator to undertake a momentous mission before an apocalyptic flood cleanses the world.,,https://image.tmdb.org/t/p/w500/vVLkHabnF5lVpCpqyhZBI5iCYMA.jpg,"Noah A man is chosen by his world's creator to undertake a momentous mission before an apocalyptic flood cleanses the world. Action,Adventure,Drama"
Nocturnal Animals,2016,"Drama,Thriller","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",,https://image.tmdb.org/t/p/w500/mdLDgQBD0va09npSQX5Zgo2evXM.jpg,"Nocturnal Animals A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale. Drama,Thriller"
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,"Drama,Thriller","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",,https://image.tmdb.org/t/p/w500/2pVxTxpFZafeGcbx2c5M6TSxJgT.jpg,"Norman: The Moderate Rise and Tragic Fall of a New York Fixer Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse. Drama,Thriller"
Notorious,2009,"Biography,Crime,Drama","The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",,https://image.tmdb.org/t/p/w500/62NsZPgueSiE8y7dqtU3FSLFwYw.jpg,"Notorious The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm. Biography,Crime,Drama"
Now You See Me,2013,"Crime,Mystery,Thriller",An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,,https://image.tmdb.org/t/p/w500/tWsNYbrqy1p1w6K9zRk0mSchztT.jpg,"Now You See Me An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money. Crime,Mystery,Thriller"
Now You See Me 2,2016,"Action,Adventure,Comedy",The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet.,,https://image.tmdb.org/t/p/w500/A81kDB6a1K86YLlcOtZB27jriJh.jpg,"Now You See Me 2 The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet. Action,Adventure,Comedy"
Nymphomaniac: Vol. I,2013,Drama,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.,,https://image.tmdb.org/t/p/w500/iLUNqgNKuWn667kXCKztSxYbT3k.jpg,Nymphomaniac: Vol. I A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating. Drama
Nymphomaniac: Vol. II,2013,Drama,"The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care.",,https://image.tmdb.org/t/p/w500/iLUNqgNKuWn667kXCKztSxYbT3k.jpg,"Nymphomaniac: Vol. II The continuation of Joe's sexually dictated life delves into the darker aspects of her adulthood, obsessions and what led to her being in Seligman's care. Drama"
Oblivion,2013,"Action,Adventure,Mystery",A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,,https://image.tmdb.org/t/p/w500/eO3r38fwnhb58M1YgcjQBd3VNcp.jpg,"Oblivion A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself. Action,Adventure,Mystery"
Ocean's Thirteen,2007,"Crime,Thriller","Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",,https://image.tmdb.org/t/p/w500/pBsZs4zYUiUTemqbikTZ76iQRaU.jpg,"Ocean's Thirteen Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff. Crime,Thriller"
Oculus,2013,"Horror,Mystery","A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon.",,https://image.tmdb.org/t/p/w500/yCzR1yKRLiJyTDLgY1ppazXEmdE.jpg,"Oculus A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon. Horror,Mystery"
Office Christmas Party,2016,Comedy,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",,https://image.tmdb.org/t/p/w500/7r3w3cPTbNEIr1imb8zXyeIJCJe.jpg,"Office Christmas Party When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand... Comedy"
Old Boy,2013,"Action,Drama,Mystery","Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason.",,https://image.tmdb.org/t/p/w500/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,"Old Boy Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason. Action,Drama,Mystery"
Olympus Has Fallen,2013,"Action,Thriller","Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers.",,https://image.tmdb.org/t/p/w500/u3GTFGwesNBNd0t1hiLaEk1iqZU.jpg,"Olympus Has Fallen Disgraced Secret Service agent (and former presidential guard) Mike Banning finds himself trapped inside the White House in the wake of a terrorist attack; using his inside knowledge, Banning works with national security to rescue the President from his kidnappers. Action,Thriller"
One Day,2011,"Drama,Romance","After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",,https://image.tmdb.org/t/p/w500/n9jMwSg4IavdD8wqdYnyW5w3Mvp.jpg,"One Day After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day. Drama,Romance"
Only for One Night,2016,Thriller,A married womans husband with a perfect life cheats with her sister with extreme consequences befalling them all.,,https://image.tmdb.org/t/p/w500/itF3zi543LCOicdzAXIuyqBZ0yz.jpg,Only for One Night A married womans husband with a perfect life cheats with her sister with extreme consequences befalling them all. Thriller
Orphan,2009,"Horror,Mystery,Thriller",A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.,,https://image.tmdb.org/t/p/w500/lCGpOgoTOGLtZnBiGY9HRg5Xnjd.jpg,"Orphan A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be. Horror,Mystery,Thriller"
Ouija: Origin of Evil,2016,"Horror,Thriller","In 1967 Los Angeles, a widowed mother and her 2 daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home.",,https://image.tmdb.org/t/p/w500/gwynHc2RrOFaplYMMpQRpr3TIA4.jpg,"Ouija: Origin of Evil In 1967 Los Angeles, a widowed mother and her 2 daughters add a new stunt to bolster their seance scam business, inviting an evil presence into their home. Horror,Thriller"
Out of the Furnace,2013,"Crime,Drama,Thriller","When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice.",,https://image.tmdb.org/t/p/w500/cOuQQ4eRpSBxb0G9OXzWE1pHPeq.jpg,"Out of the Furnace When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice. Crime,Drama,Thriller"
Oz the Great and Powerful,2013,"Adventure,Family,Fantasy","A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers.",,https://image.tmdb.org/t/p/w500/tkzfAUEKoUp4YFNbZV9hfpZOz0z.jpg,"Oz the Great and Powerful A frustrated circus magician from Kansas is transported to a magical land called Oz, where he will have to fulfill a prophecy to become the king, and release the land from the Wicked Witches using his great (but fake) powers. Adventure,Family,Fantasy"
P.S. I Love You,2007,"Drama,Romance",A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,,https://image.tmdb.org/t/p/w500/x6M9nlTpgpI4AOw0tMkOAVbhL5z.jpg,"P.S. I Love You A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life. Drama,Romance"
Pacific Rim,2013,"Action,Adventure,Sci-Fi","As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",,https://image.tmdb.org/t/p/w500/8wo4eN8dWKaKlxhSvBz19uvj8gA.jpg,"Pacific Rim As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse. Action,Adventure,Sci-Fi"
Padmaavat,2018,"Drama, History",A queen fights to protect her honor.,Hindi,https://image.tmdb.org/t/p/w342/5kk71s8Vmvt8XQOojevhTA5QcB0.jpg,"Padmaavat A queen fights to protect her honor. Drama, History"
Pain & Gain,2013,"Comedy,Crime,Drama",A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.,,https://image.tmdb.org/t/p/w500/9WqA0Ry9wmTzFvom8mNbcyKZQgP.jpg,"Pain & Gain A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong. Comedy,Crime,Drama"
Paint It Black,2016,Drama,A young woman attempts to deal with the death of her boyfriend while continuously confronted by his mentally unstable mother.,,https://image.tmdb.org/t/p/w500/ltXDGjfvpZC7cPtJKv4ajrnEGBf.jpg,Paint It Black A young woman attempts to deal with the death of her boyfriend while continuously confronted by his mentally unstable mother. Drama
Pan,2015,"Adventure,Family,Fantasy","12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan.",,https://image.tmdb.org/t/p/w500/w8i0mZR7MEL7c3bXSsuYg7VJsew.jpg,"Pan 12-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be forever known as Peter Pan. Adventure,Family,Fantasy"
Pan's Labyrinth,2006,"Drama,Fantasy,War","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",,https://image.tmdb.org/t/p/w500/z7xXihu5wHuSMWymq5VAulPVuvg.jpg,"Pan's Labyrinth In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world. Drama,Fantasy,War"
Pandorum,2009,"Action,Horror,Mystery",A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities.,,https://image.tmdb.org/t/p/w500/mNMfa6r3pl0EzFIKEkVcxyr6Rc7.jpg,"Pandorum A pair of crew members aboard a spaceship wake up with no knowledge of their mission or their identities. Action,Horror,Mystery"
Paper Towns,2015,"Drama,Mystery,Romance","After an all night adventure, Quentin's life-long crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime.",,https://image.tmdb.org/t/p/w500/eoF6wYVj1vbrCWjL0rBkdZpgrxS.jpg,"Paper Towns After an all night adventure, Quentin's life-long crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime. Drama,Mystery,Romance"
Paris pieds nus,2016,Comedy,"Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing.",,https://image.tmdb.org/t/p/w500/8XVNkOslnv5Atxy47RfPUtTDBkH.jpg,"Paris pieds nus Fiona visits Paris for the first time to assist her myopic Aunt Martha. Catastrophes ensue, mainly involving Dom, a homeless man who has yet to have an emotion or thought he was afraid of expressing. Comedy"
Passengers,2016,"Adventure,Drama,Romance","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",,https://image.tmdb.org/t/p/w500/jK9S6HANSf2no64v1x1HxfcpmcA.jpg,"Passengers A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early. Adventure,Drama,Romance"
Paterson,2016,"Comedy,Drama,Romance","A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details.",,https://image.tmdb.org/t/p/w500/AuJ1ZlfqwuAr9H5Qr1U9KILylse.jpg,"Paterson A quiet observation of the triumphs and defeats of daily life, along with the poetry evident in its smallest details. Comedy,Drama,Romance"
Patriots Day,2016,"Drama,History,Thriller","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",,https://image.tmdb.org/t/p/w500/mIDxsJTrOC7NhgOo3GziiHyKfsQ.jpg,"Patriots Day The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible. Drama,History,Thriller"
Paul,2011,"Adventure,Comedy,Sci-Fi",Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.,,https://image.tmdb.org/t/p/w500/bX8TP2qRWh2OcmeUHGn1ENDkCu6.jpg,"Paul Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51. Adventure,Comedy,Sci-Fi"
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure,Family,Fantasy",A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.,,https://image.tmdb.org/t/p/w500/brzpTyZ5bnM7s53C1KSk1TmrMO6.jpg,"Percy Jackson & the Olympians: The Lightning Thief A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods. Adventure,Family,Fantasy"
Percy Jackson: Sea of Monsters,2013,"Adventure,Family,Fantasy","In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters to find the mythical Golden Fleece while trying to stop an ancient evil from rising.",,https://image.tmdb.org/t/p/w500/tAu90qEpLqwqiZLsMqpaMVr55oN.jpg,"Percy Jackson: Sea of Monsters In order to restore their dying safe haven, the son of Poseidon and his friends embark on a quest to the Sea of Monsters to find the mythical Golden Fleece while trying to stop an ancient evil from rising. Adventure,Family,Fantasy"
Perfetti sconosciuti,2016,"Comedy,Drama","Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",,https://image.tmdb.org/t/p/w500/3wknM629Vryofb1HNo2YnLQnQyn.jpg,"Perfetti sconosciuti Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles. Comedy,Drama"
Perfume: The Story of a Murderer,2006,"Crime,Drama,Fantasy","Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",,https://image.tmdb.org/t/p/w500/2wrFrUej8ri5EpjgIkjKTAnr686.jpg,"Perfume: The Story of a Murderer Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent. Crime,Drama,Fantasy"
Personal Shopper,2016,"Drama,Mystery,Thriller",A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,,https://image.tmdb.org/t/p/w500/cdm6qZgmbaIwjKBZnUSGWS4eyM2.jpg,"Personal Shopper A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message. Drama,Mystery,Thriller"
Pet,2016,"Horror,Thriller","A psychological thriller about a man who bumps into an old crush and subsequently becomes obsessed with her, leading him to hold her captive underneath the animal shelter where he works. ... See full summary ÃÂ»",,https://image.tmdb.org/t/p/w500/cO5debLXk54GhgXd92GVD0Hpinv.jpg,"Pet A psychological thriller about a man who bumps into an old crush and subsequently becomes obsessed with her, leading him to hold her captive underneath the animal shelter where he works. ... See full summary ÃÂ» Horror,Thriller"
Pete's Dragon,2016,"Adventure,Family,Fantasy","The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",,https://image.tmdb.org/t/p/w500/A9x4Ogk8KUXTfU649NS6lS9TCmu.jpg,"Pete's Dragon The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon. Adventure,Family,Fantasy"
Pineapple Express,2008,"Action,Comedy,Crime",A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him.,,https://image.tmdb.org/t/p/w500/6E50WjeOYjDZg9HXgPjYdGtY2jG.jpg,"Pineapple Express A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witnesses his dealer's boss murder a competitor while trying to serve papers on him. Action,Comedy,Crime"
Piranha 3D,2010,"Comedy,Horror,Thriller","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",,https://image.tmdb.org/t/p/w500/lMLS2OFBbNYMSB1ZbVp4q2S4zTU.jpg,"Piranha 3D After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents. Comedy,Horror,Thriller"
Pirates of the Caribbean: At World's End,2007,"Action,Adventure,Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,"Pirates of the Caribbean: At World's End Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle. Action,Adventure,Fantasy"
Pirates of the Caribbean: Dead Man's Chest,2006,"Action,Adventure,Fantasy","Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",,https://image.tmdb.org/t/p/w500/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg,"Pirates of the Caribbean: Dead Man's Chest Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well. Action,Adventure,Fantasy"
Pirates of the Caribbean: On Stranger Tides,2011,"Action,Adventure,Fantasy","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",,https://image.tmdb.org/t/p/w500/keGfSvCmYj7CvdRx36OdVrAEibE.jpg,"Pirates of the Caribbean: On Stranger Tides Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too. Action,Adventure,Fantasy"
Pitch Perfect,2012,"Comedy,Music,Romance","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",,https://image.tmdb.org/t/p/w500/gsFoJk9g8W3zgaipRrrURk7LbiF.jpg,"Pitch Perfect Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition. Comedy,Music,Romance"
Pitch Perfect 2,2015,"Comedy,Music","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",,https://image.tmdb.org/t/p/w500/oFBQUufCV4c8WZoNhtGM17p884H.jpg,"Pitch Perfect 2 After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform. Comedy,Music"
Pixels,2015,"Action,Comedy,Family","When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",,https://image.tmdb.org/t/p/w500/d26S5EfVXLNxRXqyFy1yyl3qRq3.jpg,"Pixels When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games. Action,Comedy,Family"
PK,2014,"Comedy, Drama",An alien lands on Earth and questions societal norms.,Hindi,https://image.tmdb.org/t/p/w342/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,"PK An alien lands on Earth and questions societal norms. Comedy, Drama"
Planet Terror,2007,"Action,Comedy,Horror","After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",,https://image.tmdb.org/t/p/w500/3705GxG0RN9XDV5y9IiXKYHw1fK.jpg,"Planet Terror After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release. Action,Comedy,Horror"
